;L, μμ;hn50,naco3+tib2,53,800.csv;Result;fail;Predict
0;3,533333333333333;423,24;714,1992882805804;84657,30743674187;778,2137450867399
1;4,416666666666667;481,776;715,8095604728568;54771,70742760231;779,7990422857956
2;5,3;506,448;717,4198326651332;44509,114178084965;781,3843394848514
3;6,183333333333334;557,136;719,0301048574096;26209,70118758194;782,969636683907
4;7,066666666666666;608,16;720,640377049686;12651,835221239531;784,5549338829627
5;7,95;634,968;722,2506492419624;7618,260858695443;786,1402310820184
6;8,833333333333334;633,312;723,8609214342388;8199,107172903945;787,7255282810742
7;9,716666666666669;647,856;725,4711936265151;6024,118281681424;789,3108254801299
8;10,6;651,24;727,0814658187915;5751,927937542911;790,8961226791856
9;11,483333333333333;672,384;728,6917380110679;3170,561359923054;792,4814198782414
10;12,366666666666667;664,512;730,3020102033443;4328,325442556148;794,0667170772971
11;13,25;676,56;731,9122823956207;3063,8751664045417;795,6520142763528
12;14,133333333333333;644,424;733,522554587897;7938,552429652474;797,2373114754085
13;15,016666666666667;653,3280000000001;735,1328267801734;6692,029684534168;798,8226086744643
14;15,9;642,7679999999999;736,7430989724498;8831,31922688176;800,40790587352
15;16,783333333333335;653,1840000000001;738,3533711647262;7253,8217845948875;801,9932030725756
16;17,666666666666668;686,9039999999999;739,9636433570026;2815,3257531723266;803,5785002716314
17;18,55;716,688;741,573915549279;619,3087927258487;805,1637974706871
18;19,433333333333334;725,712;743,1841877415554;305,27734447616035;806,7490946697428
19;20,316666666666663;721,1039999999999;744,7944599338318;561,2378918764947;808,3343918687985
20;21,2;735,3599999999999;746,4047321261082;121,9861077374894;809,9196890678543
21;22,08333333333333;712,536;748,0150043183846;1258,759747423959;811,50498626691
22;22,966666666666665;735,84;749,625276510661;190,0338484753817;813,0902834659657
23;23,85;750,7679999999999;751,2355487029374;0,21860178961854448;814,6755806650215
24;24,73333333333333;777,144;752,8458208952138;590,401507808268;816,2608778640772
25;25,616666666666667;793,8;754,4560930874902;1547,9430111402314;817,8461750631329
26;26,5;813,9599999999999;756,0663652797666;3351,6729411198035;819,4314722621887
27;27,383333333333333;819,72;757,676637472043;3849,378833775501;821,0167694612444
28;28,266666666666666;811,2719999999999;759,2869096643194;2702,4496172088648;822,6020666603
29;29,15;805,2239999999999;760,8971818565957;1964,8668067184312;824,1873638593557
30;30,03333333333333;794,496;762,5074540488721;1023,2670720674205;825,7726610584115
31;30,916666666666668;771,744;764,1177262411485;58,160051444947584;827,3579582574672
32;31,8;772,1999999999999;765,7279984334249;41,88680427774984;828,9432554565229
33;32,68333333333333;783,2159999999999;767,3382706257013;252,10229008346494;830,5285526555787
34;33,56666666666667;801,0479999999999;768,9485428179777;1030,375151380477;832,1138498546344
35;34,45;816,3359999999999;770,5588150102541;2095,55066558541;833,6991470536901
36;35,333333333333336;838,176;772,1690872025305;4356,912537052752;835,2844442527459
37;36,21666666666667;841,632;773,7793593948069;4603,980837097496;836,8697414518016
38;37,1;852,288;775,3896315870833;5913,359064568671;838,4550386508573
39;37,98333333333333;846,0;776,9999037793597;4761,0132784576235;840,0403358499129
40;38,86666666666667;849,72;778,6101759716361;5056,607073344889;841,6256330489687
41;39,75;853,44;780,2204481639125;5361,102771077518;843,2109302480244
42;40,63333333333333;863,28;781,8307203561889;6633,985154495743;844,7962274470801
43;41,516666666666666;864,168;783,4409925484653;6516,849732080146;846,3815246461359
44;42,4;862,032;785,0512647407417;5926,033601056027;847,9668218451916
45;43,28333333333333;857,1840000000001;786,661536933018;4973,417797033844;849,5521190442473
46;44,16666666666666;871,3679999999999;788,2718091252943;6904,976937885506;851,137416243303
47;45,05;875,1840000000001;789,8820813175707;7276,417330903789;852,7227134423588
48;45,93333333333333;886,68;791,4923535098471;9060,688044334302;854,3080106414145
49;46,81666666666667;901,416;793,1026257021236;11731,787051791873;855,8933078404702
50;47,7;913,536;794,7128978943999;14118,929593997847;857,478605039526
51;48,583333333333336;913,896;796,3231700866763;13823,370333827328;859,0639022385817
52;49,46666666666667;919,368;797,9334422789527;14746,351808906375;860,6491994376374
53;50,35;924,84;799,5437144712291;15699,159167307287;862,2344966366932
54;51,23333333333333;927,6;801,1539866635055;15988,594288692946;863,8197938357488
55;52,11666666666667;937,776;802,7642588557819;18228,170246793336;865,4050910348045
56;53,0;946,008;804,3745310480583;20060,03952736064;866,9903882338602
57;53,88333333333333;954,192;805,9848032403347;21965,373171358144;868,575685432916
58;54,766666666666666;956,328;807,5950754326111;22121,482850368586;870,1609826319717
59;55,65;963,816;809,2053476248875;23904,453827857888;871,7462798310274
60;56,53333333333333;963,528;810,8156198171639;23321,071061107075;873,3315770300832
61;57,41666666666666;966,432;812,4258920094403;23717,88129839994;874,9168742291389
62;58,3;962,52;814,0361642017167;22047,44949337155;876,5021714281946
63;59,18333333333333;962,304;815,6464363939931;21508,440962849952;878,0874686272504
64;60,06666666666667;941,664;817,2567085862695;15477,17415690086;879,6727658263061
65;60,95;939,912;818,8669807785459;14651,896678322202;881,2580630253617
66;61,833333333333336;908,304;820,4772529708223;7713,537493727171;882,8433602244174
67;62,71666666666667;909,24;822,0875251630987;7595,553870196718;884,4286574234732
68;63,6;914,328;823,6977973553751;8213,833631405772;886,0139546225289
69;64,48333333333333;930,864;825,3080695476515;11142,054453661043;887,5992518215846
70;65,36666666666666;892,296;826,9183417399278;4274,238199570797;889,1845490206404
71;66,25;894,9599999999999;828,5286139322043;4413,129054888513;890,7698462196961
72;67,13333333333334;896,856;830,1388861244807;4451,173283879012;892,3551434187518
73;68,01666666666667;880,656;831,749158316757;2391,8791634297936;893,9404406178076
74;68,9;846,024;833,3594305090334;160,39132039152307;895,5257378168633
75;69,78333333333333;841,656;834,9697027013098;44,706571566471766;897,111035015919
76;70,66666666666667;791,064;836,5799748935862;2071,7039705135685;898,6963322149747
77;71,55;705,7919999999999;838,1902470858626;17529,295831409134;900,2816294140305
78;72,43333333333334;598,104;839,800519278139;58417,20743116777;901,8669266130862
79;73,31666666666666;508,68;841,4107914704153;110709,77959252901;903,4522238121418
80;74,2;446,112;843,0210636626917;157536,80481759468;905,0375210111976
81;75,08333333333333;399,624;844,6313358549681;198031,52896473638;906,6228182102533
82;75,96666666666667;355,656;846,2416080472445;240674,23882308466;908,208115409309
83;76,85;366,696;847,8518802395209;231510,9810890682;909,7934126083647
84;77,73333333333333;429,84;849,4621524317973;176082,75081149457;911,3787098074205
85;78,61666666666666;512,304;851,0724246240737;114764,04552227675;912,9640070064762
86;79,5;611,4;852,6826968163501;58217,33978297075;914,5493042055319
87;80,38333333333334;711,72;854,2929690086265;20327,051491934773;916,1346014045877
88;81,26666666666667;807,9359999999999;855,9032412009029;2300,856228425607;917,7198986036433
89;82,15;848,952;857,5135133931793;73,29951158158896;919,305195802699
90;83,03333333333333;864,432;859,1237855854556;28,17714027077704;920,8904930017547
91;83,91666666666667;880,7280000000001;860,734057777732;399,75772558739345;922,4757902008105
92;84,8;904,224;862,3443299700084;1753,9067618209804;924,0610873998662
93;85,68333333333334;889,56;863,9546021622848;655,6363984276675;925,6463845989219
94;86,56666666666666;894,552;865,5648743545612;840,2534531844572;927,2316817979777
95;87,45;896,6159999999999;867,1751465468376;866,7638520505772;928,8169789970334
96;88,33333333333333;898,008;868,785418739114;853,9592555490882;930,4022761960891
97;89,21666666666667;875,4719999999999;870,3956909313904;25,7689137600468;931,9875733951449
98;90,1;906,456;872,0059631236668;1186,8050407807193;933,5728705942006
99;90,98333333333332;941,76;873,6162353159432;4643,572665316107;935,1581677932563
100;91,86666666666666;977,544;875,2265075082196;10468,869269805538;936,743464992312
101;92,75;992,592;876,836779700496;13399,271026586704;938,3287621913678
102;93,63333333333334;1031,424;878,4470518927724;23401,946652201405;939,9140593904235
103;94,51666666666668;1035,744;880,0573240850488;24238,341057447025;941,4993565894792
104;95,4;964,632;881,6675962773252;6883,092285058972;943,084653788535
105;96,28333333333332;941,88;883,2778684696016;3434,209819906117;944,6699509875906
106;97,16666666666669;937,8;884,888140661878;2799,664858617207;946,2552481866464
107;98,05;932,952;886,4984128541544;2157,9357587166746;947,8405453857021
108;98,93333333333334;919,536;888,1086850464308;987,676125190833;949,4258425847578
109;99,81666666666666;976,968;889,7189572387072;7612,3954627619;951,0111397838135
110;100,7;947,664;891,3292294309836;3173,6063750637195;952,5964369828692
111;101,58333333333331;907,968;892,9395016232598;225,85576345968033;954,1817341819249
112;102,46666666666668;898,32;894,5497738155364;14,214605482015672;955,7670313809807
113;103,35;880,3919999999999;896,1600460078128;248,6312749045016;957,3523285800363
114;104,23333333333332;864,144;897,770318200089;1130,7292756936388;958,9376257790921
115;105,11666666666666;889,992;899,3805903923654;88,14562955561725;960,5229229781478
116;106,0;923,712;900,9908625846418;516,2500854475884;962,1082201772035
117;106,88333333333334;935,736;902,6011347769183;1097,9192933517857;963,6935173762593
118;107,76666666666668;968,688;904,2114069691947;4157,231048860084;965,278814575315
119;108,65;978,576;905,821679161471;5293,191200675615;966,8641117743707
120;109,53333333333332;987,336;907,4319513537474;6384,6569900627;968,4494089734264
121;110,41666666666669;984,12;909,0422235460239;5636,672517273204;970,0347061724822
122;111,3;982,632;910,6524957383002;5181,0490337600495;971,6200033715379
123;112,18333333333334;978,528;912,2627679305766;4391,08098121454;973,2053005705936
124;113,06666666666666;998,184;913,873040122853;7108,337955405884;974,7905977696494
125;113,95;951,696;915,4833123151294;1311,35874936198;976,3758949687051
126;114,83333333333331;992,4;917,0935845074057;5671,056214343244;977,9611921677607
127;115,71666666666668;1021,152;918,7038566996822;10495,622065682459;979,5464893668166
128;116,6;1030,8719999999998;920,3141288919586;12223,04286394226;981,1317865658722
129;117,48333333333332;1028,976;921,9244010842349;11460,044830421866;982,7170837649279
130;118,36666666666666;1029,096;923,5346732765113;11143,193699623134;984,3023809639836
131;119,25;1007,496;925,1449454687878;6781,696182402683;985,8876781630394
132;120,13333333333334;983,28;926,7552176610642;3195,051018464066;987,4729753620951
133;121,01666666666668;983,328;928,3654898533406;3020,877521621636;989,0582725611508
134;121,9;981,672;929,9757620456169;2672,501018636205;990,6435697602066
135;122,78333333333332;949,92;931,5860342378933;336,1343005661002;992,2288669592622
136;123,66666666666669;939,384;933,1963064301698;38,28755171411838;993,814164158318
137;124,55;930,624;934,8065786224461;17,493963932942652;995,3994613573738
138;125,43333333333334;930,48;936,4168508147225;35,24619759627059;996,9847585564295
139;126,31666666666666;922,512;938,0271230069989;240,7190419223072;998,5700557554851
140;127,2;1004,64;939,6373951992753;4225,338630879201;1000,1553529545408
141;128,08333333333334;1012,416;941,2476673915517;5064,9315662667395;1001,7406501535966
142;128,96666666666667;1023,888;942,857939583828;6565,870691048481;1003,3259473526523
143;129,85;1024,584;944,4682117761045;6418,53952273609;1004,911244551708
144;130,73333333333332;1034,0159999999998;946,0784839683809;7733,0067258112485;1006,4965417507638
145;131,61666666666667;1044,84;947,6887561606572;9438,364179531416;1008,0818389498195
146;132,5;1035,288;949,2990283529336;7394,103244919983;1009,6671361488752
147;133,38333333333333;1034,328;950,90930054521;6958,6794187285695;1011,252433347931
148;134,26666666666668;1035,096;952,5195727374864;6818,866339441193;1012,8377305469867
149;135,15;1034,64;954,1298449297628;6481,885069433651;1014,4230277460424
150;136,03333333333333;1029,144;955,7401171220392;5388,130021561382;1016,0083249450981
151;136,91666666666666;1043,928;957,3503893143156;7495,682672041947;1017,5936221441539
152;137,8;1045,032;958,960661506592;7408,275310046799;1019,1789193432096
153;138,68333333333334;1040,112;960,5709336988684;6326,781228321021;1020,7642165422653
154;139,56666666666666;1038,84;962,1812058911448;5876,570714223836;1022,349513741321
155;140,45;1020,24;963,7914780834212;3186,435626566475;1023,9348109403767
156;141,33333333333334;996,528;965,4017502756976;968,843421899635;1025,5201081394325
157;142,21666666666667;981,048;967,012022467974;197,00866527953815;1027,1054053384883
158;143,1;962,856;968,6222946602504;33,25015410883255;1028,690702537544
159;143,98333333333332;935,424;970,2325668525267;1211,6363263268222;1030,2759997365995
160;144,86666666666667;889,0799999999999;971,8428390448032;6849,687526756015;1031,8612969356554
161;145,75;828,12;973,4531112370795;21121,71322184932;1033,446594134711
162;146,63333333333333;743,88;975,0633834293559;53445,75677384459;1035,0318913337667
163;147,51666666666668;646,776;976,6736556216324;108832,4631846492;1036,6171885328226
164;148,4;537,9119999999999;978,2839278139087;193927,43480653848;1038,2024857318781
165;149,28333333333333;452,88;979,8942000061851;277743,96700815926;1039,7877829309339
166;150,16666666666666;382,248;981,5044721984615;359108,3194717455;1041,3730801299896
