;L, μμ;vt41, naco3+tib2, 280, 2000.csv;Result;fail;Predict
0;18,666666666666668;385,104;484,85971273167803;9951,202222605074;497,8335882995842
1;23,33333333333333;439,296;485,07959494714237;2096,137566284001;497,95637802139436
2;28,0;460,128;485,29947716260676;633,6032625476346;498,07916774320444
3;32,666666666666664;467,256;485,5193593780711;333,5502957725787;498,2019574650145
4;37,333333333333336;472,128;485,7392415935355;185,2658977175911;498,32474718682465
5;42,0;476,376;485,95912380899983;91,83626193861994;498,44753690863473
6;46,66666666666666;481,176;486,1790060244642;25,030069280824925;498,5703266304448
7;51,333333333333336;483,96;486,39888823992857;5,948175846861964;498,69311635225495
8;56,0;487,032;486,6187704553929;0,17075865653617228;498,815906074065
9;60,66666666666666;488,784;486,8386526708573;3,784376231002604;498,9386957958751
10;65,33333333333333;491,184;487,05853488632164;17,019462404177432;499,06148551768524
11;70,0;491,952;487,27841710178603;21,842377106478047;499,1842752394953
12;74,66666666666667;495,216;487,49829931725037;59,562903828514216;499,3070649613054
13;79,33333333333333;495,816;487,71818153271477;65,57466392910536;499,42985468311554
14;84,0;497,592;487,9380637481791;93,19848515422139;499,5526444049256
15;88,66666666666667;498,9359999999999;488,15794596364344;116,1664488106202;499,6754341267357
16;93,33333333333331;499,344;488,37782817910784;120,2569244053292;499,79822384854583
17;98,0;498,528;488,5977103945722;98,6106516476683;499,9210135703559
18;102,66666666666669;498,264;488,81759261003657;89,23461257715589;500,043803292166
19;107,33333333333331;497,712;489,0374748255009;75,24738700301832;500,1665930139761
20;112,0;498,312;489,2573570409653;81,98655911559683;500,2893827357862
21;116,66666666666669;499,416;489,47723925642964;98,77896511793517;500,4121724575963
22;121,33333333333331;498,96;489,69712147189404;85,80091862644613;500,5349621794064
23;126,0;499,512;489,9170036873584;92,0639542396064;500,6577519012165
24;130,66666666666666;500,472;490,1368859028227;106,8145834016723;500,78054162302664
25;135,33333333333334;500,04;490,3567681182871;93,76497967502141;500,9033313448367
26;140,0;499,0799999999999;490,57665033375145;72,30695554648817;501,0261210666468
27;144,66666666666666;500,592;490,79653254921584;95,95118257937163;501,14891078845693
28;149,33333333333334;501,24;491,0164147646802;104,52169506384965;501,271700510267
29;154,0;502,536;491,2362969801446;127,68328833692989;501,3944902320771
30;158,66666666666666;503,352;491,4561791956089;141,51055261018328;501,5172799538872
31;163,33333333333334;505,992;491,6760614110733;204,94609768192095;501,6400696756973
32;168,0;506,304;491,89594362653764;207,59208846086847;501,7628593975074
33;172,66666666666666;506,112;492,115825842002;195,89289106101216;501,8856491193175
34;177,33333333333334;505,608;492,3357080574664;176,15373340784305;502,0084388411276
35;182,0;507,168;492,5555902729307;213,52251803174926;502,1312285629377
36;186,66666666666663;505,392;492,7754724883951;159,17676645108298;502,2540182847478
37;191,3333333333333;505,824;492,99535470385945;164,57414013418943;502,3768080065579
38;196,0;506,616;493,21523691932384;179,58045114441273;502,499597728368
39;200,66666666666663;506,976;493,4351191347882;183,35545460585956;502,6223874501781
40;205,3333333333333;507,24;493,6550013502525;184,55218831364112;502,7451771719882
41;210,0;508,608;493,8748835657169;217,06471986614247;502,86796689379827
42;214,66666666666663;509,4;494,09476578118125;234,25019449289965;502,9907566156084
43;219,3333333333333;509,976;494,31464799664565;245,2779465729714;503,1135463374185
44;224,0;510,048;494,53453021211;240,66774485977632;503,23633605922856
45;228,66666666666663;508,776;494,7544124275744;196,60491805120088;503,3591257810387
46;233,3333333333333;503,928;494,9742946430387;80,16883961927711;503,4819155028488
47;238,0;453,072;495,1941768585031;1774,277783299015;503,60470522465886
48;242,66666666666663;437,592;495,41405907396745;3343,3905155533835;503,727494946469
49;247,3333333333333;428,16;495,6339412894318;4552,732753129684;503,8502846682791
50;252,0;421,08;495,8538235048962;5591,124681541367;503,97307439008915
51;256,6666666666667;420,504;496,0737057203605;5710,780422661887;504,0958641118993
52;261,3333333333333;464,976;496,2935879358249;980,7913141181265;504,21865383370937
53;266,0;477,048;496,51347015128925;378,90452821073285;504,34144355551945
54;270,6666666666667;485,352;496,73335236675365;129,53518169620946;504,4642332773296
55;275,3333333333333;491,424;496,953234582218;30,572435065195567;504,58702299913966
