;L, μμ;vt18u,naco3+tib2-1,280,2000.csv;Result;fail;Predict
0;18,666666666666668;436,512;328,52523245546695;11661,141964717017;337,13557562685793
1;23,33333333333333;668,544;328,6029275632756;115559,93272943028;337,20564451259423
2;28,0;676,92;328,68062267108434;121270,66392243087;337,2757133983305
3;32,666666666666664;701,16;328,75831777889306;138683,0129211103;337,34578228406673
4;37,333333333333336;677,4;328,8360128867017;121496,85311231956;337,41585116980303
5;42,0;574,968;328,91370799451045;60542,7146143227;337,4859200555393
6;46,66666666666666;324,648;328,99140310231917;18,865150509235562;337,55598894127553
7;51,333333333333336;325,75199999999995;329,06909821012783;11,003140535633591;337,62605782701183
8;56,0;325,296;329,14679331793656;14,82860917746489;337,6961267127481
9;60,66666666666666;326,904;329,2244884257453;5,384666534017816;337,76619559848433
10;65,33333333333333;326,616;329,302183533554;7,2155819759367334;337,83626448422064
11;70,0;330,048;329,37987864136267;0,4463861498673998;337,9063333699569
12;74,66666666666667;329,088;329,4575737491714;0,13658475607657958;337,97640225569313
13;79,33333333333333;328,032;329,5352688569801;2,2598172563663406;338,04647114142944
14;84,0;326,928;329,6129639647888;7,209031492214277;338,1165400271657
15;88,66666666666667;322,056;329,6906590725975;58,28801915479554;338,18660891290193
16;93,33333333333331;321,192;329,7683541804062;73,55385102777112;338,25667779863824
17;98,0;316,656;329,8460492882149;173,97740022553785;338,3267466843745
18;102,66666666666669;315,696;329,9237443960236;202,42871059858044;338,39681557011073
19;107,33333333333331;312,816;330,00143950383233;295,3393309398817;338,46688445584704
20;112,0;315,12;330,079134611641;223,77570832919545;338,5369533415833
21;116,66666666666669;312,16799999999995;330,1568297194497;323,59799467535925;338,6070222273196
22;121,33333333333331;314,928;330,23452482725844;234,2897022874791;338,67709111305584
23;126,0;314,688;330,3122199350671;244,1162485793487;338,7471599987921
24;130,66666666666666;317,232;330,3899150428758;173,13072827553725;338,8172288845284
25;135,33333333333334;316,344;330,46761015068455;199,47636368851983;338,88729777026464
26;140,0;317,87999999999994;330,5453052584932;160,40995729081743;338,9573666560009
27;144,66666666666666;315,672;330,62300036630194;223,5324119531599;339,0274355417372
28;149,33333333333334;315,192;330,70069547411066;240,51963530870023;339,09750442747344
29;154,0;313,248;330,7783905819193;307,3145939546461;339,1675733132097
30;158,66666666666666;311,37600000000003;330,85608568972805;379,47373847914616;339,237642198946
31;163,33333333333334;312,86400000000003;330,93378079753677;326,5169780710274;339,30771108468224
32;168,0;312,504;331,01147590534543;342,5266643869411;339,3777799704185
33;172,66666666666666;312,984;331,08917101315416;327,79721741555824;339,4478488561548
34;177,33333333333334;313,512;331,1668661209629;311,6942977491229;339,51791774189104
35;182,0;316,656;331,2445612287716;212,82611872561782;339,5879866276273
36;186,66666666666663;314,76;331,32225633658027;274,3083349585935;339,6580555133636
37;191,3333333333333;316,296;331,399951444389;228,12934923446048;339,72812439909984
38;196,0;316,56;331,4776465521977;222,53617865629622;339,7981932848361
39;200,66666666666663;318,09599999999995;331,5553416600064;181,15387792078465;339,8682621705724
40;205,3333333333333;318,528;331,6330367678151;171,7419886857851;339,93833105630864
41;210,0;321,16799999999995;331,7107318756238;111,14919540129564;340,0083999420449
42;214,66666666666663;322,056;331,7884269834325;94,7201349878451;340,0784688277812
43;219,3333333333333;323,16;331,8661220912412;75,79656186759777;340,14853771351744
44;224,0;322,32;331,94381719904993;92,6178574807294;340,2186065992537
45;238,0;311,568;332,17690252247604;424,72686318092;340,4288132564625
46;242,66666666666663;303,408;332,2545976302847;832,1261948435464;340,4988821421988
47;247,3333333333333;299,712;332,33229273809343;1064,0834983189116;340,56895102793504
48;252,0;294,696;332,40998784590215;1422,3448792408533;340,6390199136713
49;256,6666666666667;293,04;332,4876829537108;1556,1196904164854;340,7090887994076
50;261,3333333333333;301,632;332,56537806151954;956,8738782968979;340,77915768514384
51;266,0;305,4;332,64307316932826;742,1850357093746;340,8492265708801
52;270,6666666666667;305,664;332,7207682771369;732,0687096026838;340,9192954566164
53;275,3333333333333;308,496;332,79846338494565;590,6097265766249;340,98936434235264
54;280,0;308,832;332,87615849275437;578,1215576246924;341,0594332280889
55;284,6666666666667;305,76;332,95385360056304;739,5056736488557;341,1295021138252
56;289,3333333333333;306,408;333,03154870837176;708,8133458270427;341,19957099956144
57;294,0;306,048;333,1092438161805;732,3109168787662;341,2696398852977
58;298,6666666666667;303,792;333,1869389239892;864,0624343450571;341,339708771034
59;303,3333333333333;305,424;333,26463403179787;775,1009032925028;341,40977765677025
60;308,0;307,824;333,3423291396066;651,1851220772942;341,4798465425065
61;312,6666666666667;305,832;333,4200242474153;761,0990818759756;341,5499154282428
62;317,3333333333333;307,60799999999995;333,497719355224;670,2775682922618;341,61998431397905
63;322,0;307,8;333,5754144630327;664,3719907411147;341,6900531997153
64;326,6666666666667;306,23999999999995;333,6531095708414;751,4785763429602;341,7601220854516
65;331,3333333333333;304,296;333,7308046786501;866,4077264702815;341,83019097118785
66;336,0;307,896;333,8084997864588;671,4576451832271;341,9002598569241
67;340,6666666666667;306,192;333,88619489426753;766,9684308416735;341,9703287426604
68;345,3333333333333;309,216;333,9638900020762;612,4580595548626;342,04039762839665
69;350,0;307,344;334,0415851098849;712,7610506995493;342,1104665141329
70;354,6666666666667;309,936;334,11928021769364;584,8310420874938;342,1805353998692
71;359,3333333333333;305,76;334,1969753255023;808,6615656632276;342,25060428560545
72;364,0;306,6;334,27467043331103;765,8873835923785;342,3206731713417
73;368,6666666666667;304,70399999999995;334,35236554111975;879,02557925986;342,390742057078
74;373,3333333333333;307,296;334,4300606489284;736,257247299726;342,46081094281425
75;378,0;307,75199999999995;334,50775575673714;715,8704661141751;342,53087982855055
76;382,6666666666667;310,968;334,58545086454586;557,7839853392372;342,6009487142868
77;387,3333333333333;313,968;334,6631459723545;428,2890668170611;342,67101760002305
78;392,0;311,688;334,74084108016325;531,4334818672629;342,74108648575935
79;396,6666666666667;308,184;334,818536187972;709,3985179483872;342,8111553714956
80;401,3333333333333;310,53599999999994;334,89623129578064;593,4208687839331;342,88122425723185
81;406,0;308,28;334,97392640358936;712,5657068402467;342,95129314296815
82;410,6666666666667;308,184;335,0516215113981;721,8690856797396;343,0213620287044
83;415,3333333333333;310,872;335,1293166192068;588,417409564446;343,09143091444065
84;420,0;316,296;335,20701172701547;357,6263645393169;343,16149980017695
85;424,6666666666667;314,568;335,2847068348242;429,18194208005207;343,2315686859132
86;429,3333333333333;318,336;335,3624019426329;289,8983631120934;343,30163757164945
87;434,0;316,464;335,4400970504416;360,09225926777765;343,37170645738576
88;438,6666666666667;317,136;335,5177921582503;337,8902829491114;343,441775343122
89;443,3333333333333;314,208;335,595487266059;457,4246115558358;343,51184422885825
90;448,0;315,16799999999995;335,6731823738677;420,4625041855762;343,58191311459456
91;452,6666666666667;299,136;335,7508774816764;1340,6492529981726;343,6519820003308
92;457,3333333333333;295,992;335,82857258948513;1586,9525156773168;343,72205088606705
93;462,0;292,752;335,9062676972938;1862,2908204896942;343,79211977180336
94;466,6666666666667;295,344;335,9839628051025;1651,606576800117;343,8621886575396
95;471,3333333333333;293,16;336,06165791291124;1840,552251676458;343,93225754327585
96;476,0;305,88;336,1393530207199;915,6284452325514;344,00232642901216
97;480,6666666666667;308,28;336,21704812852863;780,4786581357266;344,0723953147484
98;485,3333333333333;314,184;336,29474323633735;488,8849664632369;344,14246420048465
99;490,0;311,16;336,372438344146;635,6670472573632;344,21253308622096
100;494,6666666666667;314,30400000000003;336,45013345195474;490,45122687178747;344,2826019719572
101;499,3333333333333;318,86400000000003;336,52782855976346;312,01083938871426;344,35267085769345
102;504,0;322,848;336,60552366757213;189,26945746380693;344,42273974342976
103;508,6666666666667;320,568;336,68321877538085;259,70027617838804;344,492808629166
104;513,3333333333334;325,368;336,7609138831896;129,79848674977384;344,56287751490225
105;518,0;325,512;336,83860899099824;128,29207123496212;344,63294640063856
106;522,6666666666666;325,416;336,91630409880696;132,25699436503626;344,7030152863748
107;527,3333333333334;323,904;336,9939992066157;171,3480792291993;344,77308417211106
108;532,0;325,08;337,0716943144244;143,800732530599;344,84315305784736
109;536,6666666666666;324,696;337,14938942223307;155,0869081017859;344,9132219435836
110;541,3333333333334;325,152;337,2270845300418;145,80766640765495;344,98329082931986
111;546,0;325,344;337,3047796378505;143,06024954521965;345,05335971505616
112;550,6666666666666;328,248;337,3824747456592;83,43862887908553;345,1234286007924
113;555,3333333333334;330,072;337,4601698534679;54,5850537836919;345,19349748652866
114;560,0;327,768;337,5378649612766;95,45026136158125;345,26356637226496
115;564,6666666666666;327,23999999999995;337,6155600690853;107,65224674719815;345,3336352580012
116;569,3333333333334;325,56;337,693255176894;147,2158811876253;345,40370414373746
117;574,0;321,912;337,77095028470274;251,50630413267368;345,47377302947376
118;578,6666666666666;322,104;337,8486453925114;247,89385853593095;345,54384191521
119;583,3333333333334;324,31199999999995;337,9263405003201;185,350267258658;345,6139108009463
120;588,0;326,136;338,00403560812885;140,85026919581364;345,68397968668256
121;592,6666666666666;326,80799999999994;338,0817307159375;127,09700425547433;345,7540485724188
122;597,3333333333334;328,272;338,15942582374623;97,76118942008404;345,8241174581551
123;602,0;329,59200000000004;338,23712093155495;74,7381159212089;345,89418634389136
124;606,6666666666666;331,512;338,3148160393636;46,278306065422925;345,9642552296276
125;611,3333333333334;328,512;338,39251114717234;97,62450052939691;346,0343241153639
126;616,0;332,87999999999994;338,47020625498106;31,25040597323011;346,10439300110016
127;620,6666666666666;334,032;338,54790136278973;20,393365118446305;346,1744618868364
128;625,3333333333334;333,288;338,62559647059845;28,48993608294494;346,2445307725727
129;630,0;332,784;338,7032915784072;35,038012790202195;346,31459965830896
130;634,6666666666666;332,136;338,78098668621584;44,15584805998545;346,3846685440452
131;639,3333333333334;330,072;338,85868179402456;77,20577694944265;346,4547374297815
132;644,0;329,95199999999994;338,9363769018333;80,7190283141965;346,52480631551776
133;648,6666666666666;329,64;339,01407200964195;87,87322604195292;346,594875201254
134;653,3333333333334;327,79200000000003;339,0917671174507;127,6847369086188;346,6649440869903
135;658,0;332,184;339,1694622252594;48,79668250052557;346,73501297272657
136;662,6666666666666;322,728;339,2471573330681;272,88255899465787;346,8050818584628
137;667,3333333333334;316,152;339,3248524408768;536,9810902466496;346,8751507441991
138;672,0;315,09599999999995;339,4025475486855;590,8082537365119;346,94521962993537
139;676,6666666666666;314,784;339,4802426564942;609,9044013484454;347,0152885156716
140;681,3333333333334;311,064;339,5579377643029;811,9044893159653;347,0853574014079
141;686,0;319,32;339,6356328721116;412,72493899442225;347,15542628714417
142;690,6666666666666;327,384;339,71332797992034;152,01232843644613;347,2254951728804
143;695,3333333333334;329,112;339,791023087729;114,04153410824857;347,2955640586167
144;700,0;331,92;339,8687181955377;63,18212095207224;347,36563294435297
145;704,6666666666666;333,432;339,94641330334645;42,43758068681694;347,4357018300892
146;709,3333333333334;332,80799999999994;340,0241084111551;52,07222060154448;347,5057707158255
147;714,0;332,856;340,10180351896383;52,50166863542876;347,57583960156177
148;718,6666666666666;332,208;340,17949862677256;63,54479035663632;347,645908487298
149;723,3333333333334;330,6;340,2571937345812;93,26139082723437;347,7159773730343
150;728,0;333,648;340,33488884238994;44,71448239047879;347,78604625877057
151;732,6666666666666;335,16;340,41258395019867;27,589638153884362;347,8561151445068
152;737,3333333333334;336,408;340,49027905800733;16,6650023074451;347,9261840302431
153;742,0;335,688;340,56797416581605;23,814147859032204;347,99625291597937
154;746,6666666666666;336,6;340,6456692736248;16,36743987155144;348,0663218017156
155;751,3333333333334;335,016;340,7233643814335;32,57400818245556;348,1363906874519
156;756,0;334,44;340,80105948924216;40,46307782567781;348,20645957318817
157;760,6666666666666;330,84;340,8787545970509;100,7765938598108;348,2765284589244
158;765,3333333333334;332,80799999999994;340,9564497048596;66,39723259262767;348,3465973446607
159;770,0;334,152;341,0341448126683;47,363917222537005;348,41666623039697
160;774,6666666666666;334,368;341,111839920477;45,47937687301924;348,4867351161332
161;779,3333333333334;336,02399999999994;341,1895350282857;26,682752128447312;348,5568040018695
162;784,0;340,32;341,2672301360944;0,897244930725397;348,62687288760577
163;788,6666666666666;340,392;341,3449252439031;0,9080665204678011;348,696941773342
164;793,3333333333334;338,568;341,4226203517118;8,148857352407454;348,7670106590783
165;798,0;338,76;341,5003154595205;7,509328817687062;348,83707954481457
166;802,6666666666666;337,776;341,5780105673292;14,455284354082943;348,9071484305508
167;807,3333333333334;335,136;341,65570567513794;42,50656209042552;348,9772173162871
168;812,0;334,368;341,7334007829466;54,24912869343051;349,0472862020234
169;816,6666666666666;333,888;341,8110958907553;62,77544849410429;349,1173550877596
170;821,3333333333334;334,08;341,88879099856405;60,977216859255144;349,1874239734959
171;826,0;331,704;341,9664861063727;105,31862108349281;349,2574928592322
172;830,6666666666666;331,92;342,04418121418144;102,49904525758396;349,3275617449684
173;835,3333333333334;332,616;342,12187632199016;90,3616846489734;349,3976306307047
174;840,0;332,928;342,1995714297988;85,96203677786184;349,467699516441
