;L, μμ;hn58,naco3,53,800;Result;fail;Predict
0;13,25;431,184;452,56647727846;457,2103345638576;450,5083012477945
1;14,133333333333333;375,024;452,81918686279766;6052,091099017606;450,8061662511099
2;15,016666666666667;377,088;453,0718964471353;5773,55251928898;451,1040312544253
3;15,9;382,488;453,32460603147297;5017,824754058112;451,4018962577407
4;16,783333333333335;387,48;453,57731561581056;4368,855131616072;451,6997612610561
5;17,666666666666668;385,176;453,8300252001482;4713,375176182588;451,9976262643715
6;18,55;387,048;454,08273478448587;4493,655667626359;452,2954912676869
7;19,433333333333334;388,272;454,3354443688235;4364,37868187264;452,5933562710023
8;20,316666666666663;387,648;454,5881539531611;4480,9842112729075;452,8912212743177
9;21,2;384,888;454,84086353749876;4893,403117095927;453,18908627763307
10;22,08333333333333;388,368;455,0935731218364;4452,302108437539;453,48695128094846
11;22,966666666666665;391,464;455,34628270617407;4080,9460437515463;453,78481628426385
12;23,85;396,456;455,59899229051166;3497,89353707552;454,08268128757925
13;24,73333333333333;398,328;455,8517018748493;3308,976277386545;454,38054629089464
14;25,616666666666667;398,856;456,10441145918696;3277,38061460037;454,67841129421004
15;26,5;401,28;456,3571210435246;3033,489262443065;454,97627629752543
16;27,383333333333333;400,824;456,60983062786227;3112,0588988405343;455,2741413008408
17;28,266666666666666;398,184;456,86254021219986;3443,171081434753;455,5720063041562
18;29,15;397,152;457,1152497965375;3595,5913261619576;455,8698713074716
19;30,03333333333333;403,128;457,36795938087516;2941,973193638989;456,167736310787
20;30,916666666666668;402,672;457,6206689652128;3019,3562210485393;456,4656013141024
21;31,8;402,864;457,8733785495504;3026,031728407739;456,7634663174178
22;32,68333333333333;405,792;458,12608813388806;2738,856780805566;457,0613313207332
23;33,56666666666667;407,73599999999993;458,3787977182257;2564,692960729134;457,35919632404864
24;34,45;406,752;458,63150730256336;2691,4832779567246;457,65706132736403
25;35,333333333333336;405,216;458,88421688690096;2880,2775038194404;457,9549263306794
26;36,21666666666667;407,256;459,1369264712386;2691,63053151407;458,2527913339948
27;37,1;408,24;459,38963605557626;2616,2852686179062;458,5506563373102
28;37,98333333333333;410,376;459,6423456399139;2427,172812711467;458,8485213406256
29;38,86666666666667;406,728;459,8950552242515;2826,735761218609;459,146386343941
30;39,75;409,224;460,14776480858916;2593,229822280505;459,4442513472564
31;40,63333333333333;411,048;460,4004743929268;2435,6667287044966;459,7421163505718
32;41,516666666666666;412,296;460,65318397726446;2338,4172422110037;460,0399813538872
33;42,4;412,152;460,90589356160206;2376,942137416024;460,3378463572026
34;43,28333333333333;419,352;461,1586031459397;1747,792066602098;460,635711360518
35;44,16666666666666;421,44;461,41131273027736;1597,705841381633;460,93357636383337
36;45,05;421,656;461,664022314615;1600,6418495267321;461,23144136714876
37;45,93333333333333;419,472;461,9167318989526;1801,5552659739665;461,52930637046416
38;46,81666666666667;418,896;462,16944148329026;1872,5907378077447;461,82717137377955
39;47,7;418,944;462,4221510676279;1890,3496202594724;462,12503637709494
40;48,583333333333336;418,944;462,67486065196556;1912,388173361628;462,42290138041034
41;49,46666666666667;420,264;462,9275702363032;1820,1802253079763;462,72076638372573
42;50,35;423,168;463,1802798206408;1600,9825364452588;463,0186313870411
43;51,23333333333333;426,504;463,43298940497846;1363,7502584730098;463,3164963903565
44;52,11666666666667;426,912;463,6856989893161;1352,3049373568301;463,6143613936719
45;53,0;426,552;463,93840857365376;1397,7435460361698;463,9122263969873
46;53,88333333333333;427,872;464,19111815799135;1319,0783437741363;464,21009140030276
47;54,766666666666666;417,096;464,443827742329;2241,8167919172597;464,5079564036181
48;55,65;396,624;464,69653732666666;4633,870338090423;464,80582140693355
49;56,53333333333333;366,216;464,9492469110043;9748,25404558934;465,10368641024894
50;57,41666666666666;336,984;465,2019564953419;16439,844367841393;465,40155141356433
51;58,3;304,08;465,45466607967955;26041,782852328084;465,6994164168797
52;59,18333333333333;292,536;465,7073756640172;29988,32534936817;465,9972814201951
53;60,06666666666667;305,52;465,96008524835486;25741,02095449938;466,2951464235105
54;60,95;333,552;466,21279483269245;17598,886485641717;466,5930114268259
55;61,833333333333336;365,784;466,4655044170301;10136,765331676454;466,8908764301413
56;62,71666666666667;394,848;466,71821400136776;5165,327660602396;467,1887414334567
57;63,6;415,968;466,9709235857054;2601,298214289303;467,4866064367721
58;64,48333333333333;422,256;467,223633170043;2022,088032915554;467,7844714400875
59;65,36666666666666;424,704;467,47634275438065;1829,4733046982185;468,0823364434029
60;66,25;422,088;467,7290523387183;2083,1056585856218;468,3802014467183
61;67,13333333333334;424,008;467,98176192305596;1933,6917376656074;468,67806645003367
62;68,01666666666667;425,832;468,23447150739355;1797,9695899353223;468,97593145334906
63;68,9;427,224;468,4871810917312;1702,6501138090043;469,27379645666446
64;69,78333333333333;425,904;468,73989067606885;1834,913530012123;469,57166145997985
65;73,31666666666666;427,464;469,7507290134194;1788,1674506543663;470,7631214732414
66;74,2;428,376;470,00343859775705;1732,8436442100358;471,0609864765568
67;75,08333333333333;428,04;470,25614818209465;1782,2031673325716;471,3588514798722
68;75,96666666666667;427,848;470,5088577664323;1819,948785367766;471,65671648318767
69;76,85;429,84;470,76156735076995;1674,5746744436033;471,954581486503
70;77,73333333333333;429,408;471,0142769351076;1731,0822804008656;472,25244648981845
71;78,61666666666666;429,12;471,26698651944525;1776,3684726702995;472,55031149313385
72;79,5;428,832;471,51969610378285;1822,239398648918;472,84817649644924
73;80,38333333333334;427,464;471,7724056881205;1963,2348146230693;473,14604149976464
74;81,26666666666667;427,032;472,02511527245815;2024,3804219207086;473,44390650308003
75;82,15;426,408;472,2778248567958;2104,0408323931206;473,7417715063954
76;83,03333333333333;423,432;472,5305344411334;2410,666084267161;474,0396365097108
77;83,91666666666667;423,288;472,78324402547105;2449,7791811409265;474,3375015130262
78;84,8;422,4;473,0359536098087;2563,999797974701;474,6353665163416
79;85,68333333333334;422,328;473,28866319414635;2596,9891931872253;474,933231519657
