;L, μμ;vt41,naco3+tib2,200,2000.csv;Result;fail;Predict
75;290,0;18,18;19,606731549001534;2,0355629129163173;20,49739413892715
76;293,3333333333333;18,05;19,609495478830347;2,4320261484922905;20,499653750528278
77;296,6666666666667;18,24;19,612259408659156;1,8830958846535812;20,50191336212941
78;300,0;18,1;19,61502333848797;2,2952957161632273;20,504172973730544
79;303,3333333333333;18,05;19,61778726831678;2,457956918696184;20,506432585331673
80;306,6666666666667;17,76;19,62055119814559;3,46165076092099;20,508692196932806
81;310,0;18,0;19,623315127974404;2,6351520047105566;20,510951808533935
82;313,3333333333333;17,95;19,626079057803214;2,8092410080065107;20,513211420135068
83;316,6666666666667;18,03;19,628842987632027;2,556298899100101;20,5154710317362
84;320,0;18,02;19,631606917460836;2,597276856407619;20,51773064333733
85;323,3333333333333;18,08;19,63437084728965;2,416068730903946;20,519990254938463
86;326,6666666666667;17,99;19,63713477711846;2,7130529739930895;20,522249866539596
87;330,0;17,97;19,63989870694727;2,7885616914641718;20,524509478140725
88;333,3333333333333;17,98;19,642662636776084;2,7644470437311988;20,526769089741858
89;336,6666666666667;18,07;19,645426566604893;2,4819688667644813;20,52902870134299
90;340,0;18,08;19,648190496433706;2,4592214331049993;20,53128831294412
91;343,3333333333333;18,2;19,65095442626252;2,105268747090798;20,533547924545253
92;346,6666666666667;18,35;19,65371835609133;1,6996815520094721;20,535807536146386
93;350,0;18,41;19,65648228592014;1,5537180891127007;20,538067147747515
94;353,3333333333333;18,33;19,65924621574895;1,7668955020829105;20,54032675934865
95;356,6666666666667;18,56;19,662010145577764;1,2144263609563266;20,54258637094978
96;360,0;18,4;19,664774075406577;1,599653461820564;20,54484598255091
97;363,3333333333333;18,41;19,667538005235386;1,581401834611393;20,547105594152043
98;366,6666666666667;18,33;19,6703019350642;1,7964092771368403;20,549365205753176
99;370,0;18,39;19,673065864893008;1,6462580136536415;20,551624817354305
100;373,3333333333333;18,31;19,67582979472182;1,8654910281498553;20,55388442895544
101;376,6666666666667;18,55;19,678593724550634;1,2737237950950706;20,556144040556568
102;380,0;18,43;19,681357654379443;1,565895979174023;20,5584036521577
103;383,3333333333333;18,62;19,684121584208256;1,1323547459778867;20,560663263758833
104;386,6666666666667;18,62;19,686885514037066;1,1382447000621314;20,562922875359963
105;390,0;18,73;19,68964944386588;0,9209270551120889;20,565182486961096
106;393,3333333333333;18,52;19,69241337369469;1,374553118818169;20,56744209856223
107;396,6666666666667;18,57;19,6951773035235;1,2660239643644153;20,569701710163358
108;400,0;18,47;19,697941233352314;1,507839672566804;20,57196132176449
109;403,3333333333333;18,62;19,700705163181123;1,1679236497263354;20,574220933365623
110;406,6666666666667;18,45;19,703469093009936;1,571184767131153;20,576480544966753
111;410,0;18,56;19,706233022838745;1,3138501426460503;20,578740156567886
112;413,3333333333333;18,82;19,708996952667558;0,7903155818522041;20,58099976816902
113;416,6666666666667;18,86;19,71176088249637;0,7254966009509978;20,583259379770148
114;420,0;18,96;19,71452481232518;0,5693076924143474;20,58551899137128
115;423,3333333333333;19,15;19,717288742153993;0,3218165169746615;20,587778602972413
116;426,6666666666667;19,14;19,720052671982803;0,3364611022743882;20,590038214573543
117;430,0;19,05;19,722816601811616;0,4526821796733291;20,592297826174676
118;433,3333333333333;19,05;19,72558053164043;0,456409054731563;20,59455743777581
119;436,6666666666667;18,86;19,728344461469238;0,7540221037643017;20,596817049376938
120;440,0;18,65;19,73110839129805;1,1687953537350622;20,59907666097807
121;443,3333333333333;18,75;19,73387232112686;0,9680047442795553;20,601336272579204
122;446,6666666666667;18,73;19,736636250955673;1,0133165417380918;20,603595884180333
123;450,0;18,7;19,739400180784486;1,0803527358148235;20,605855495781466
124;453,3333333333333;18,72;19,742164110613295;1,0448194690258712;20,608115107382595
125;456,6666666666667;19,16;19,744928040442108;0,3421408124954443;20,610374718983728
126;460,0;19,16;19,747691970270917;0,3453818519209128;20,61263433058486
127;463,3333333333333;19,32;19,75045590009973;0,18529228193066882;20,61489394218599
128;466,6666666666667;19,52;19,753219829928543;0,05439148907189886;20,617153553787123
129;470,0;19,63;19,755983759757353;0,0158719077225986;20,619413165388256
130;473,3333333333333;19,31;19,758747689586166;0,20137448890892276;20,621672776989385
131;476,6666666666667;19,34;19,761511619414975;0,17767204530183478;20,623932388590518
132;480,0;19,15;19,764275549243788;0,37733445039875896;20,62619200019165
133;483,3333333333333;18,99;19,7670394790726;0,6037903520374212;20,62845161179278
134;486,6666666666667;19,01;19,76980340890141;0,577301220178201;20,630711223393913
135;490,0;19,18;19,772567338730223;0,35113605092981914;20,632970834995046
136;493,3333333333333;19,15;19,775331268559032;0,3910391954376504;20,635230446596175
137;496,6666666666667;19,19;19,778095198387845;0,3458559623668376;20,637490058197308
138;500,0;19,35;19,780859128216658;0,18563958836761743;20,63974966979844
139;503,3333333333333;19,31;19,783623058045468;0,22431880111234148;20,64200928139957
140;506,6666666666667;19,26;19,78638698787428;0,2770832610033562;20,644268893000703
141;510,0;19,36;19,78915091770309;0,18417051016540462;20,646528504601836
142;513,3333333333334;19,03;19,791914847531903;0,5805142348895608;20,648788116202965
143;516,6666666666666;17,6;19,794678777360716;4,816614935797519;20,651047727804098
144;520,0;16,63;19,797442707189525;10,032693303328113;20,653307339405227
145;530,0;15,14;19,80573449667596;21,769078393472068;20,660086174208622
146;533,3333333333334;15,69;19,808498426504773;16,962029289122295;20,662345785809755
147;536,6666666666666;16,31;19,811262356333582;12,258838087878598;20,664605397410888
148;540,0;17,63;19,814026286162395;4,769970818648309;20,666865009012017
149;543,3333333333334;18,75;19,816790215991205;1,1380413649345609;20,66912462061315
150;546,6666666666666;20,21;19,819554145820018;0,15244796504633681;20,671384232214283
