;L, μμ;vt18u,nacro2,200,2000.csv;Result;fail;Predict
75;263,3333333333333;438,768;423,0560828212762;246,86434143107454;433,98814721976345
76;266,6666666666667;439,056;423,13102856864964;253,6047150893246;434,0489066961016
77;270,0;435,648;423,205974316023;154,8040031207439;434,1096661724398
78;273,3333333333333;438,96;423,28092006339637;245,833547658406;434,17042564877795
79;276,6666666666667;441,408;423,3558658107698;325,879548785975;434,2311851251161
80;280,0;441,552;423,43081155814315;328,3774705452871;434,2919446014543
81;283,3333333333333;444,456;423,50575730551657;438,91266895775715;434,35270407779245
82;286,6666666666667;448,752;423,58070305288993;633,5941899995931;434,4134635541306
83;290,0;446,448;423,6556488002633;519,4912732121384;434,47422303046875
84;293,3333333333333;446,232;423,7305945476367;506,3132473316455;434,53498250680695
85;296,6666666666667;446,808;423,8055402950101;529,1131524796848;434,5957419831451
86;300,0;448,488;423,88048604238344;605,5297431742939;434,65650145948325
87;303,3333333333333;449,304;423,95543178975686;642,5499103093479;434,71726093582146
88;306,6666666666667;451,632;424,0303775371302;761,8495625827978;434,7780204121596
89;310,0;452,928;424,1053232845036;830,7466930460191;434,83877988849775
90;313,3333333333333;453,528;424,180269031877;861,2893129773267;434,89953936483596
91;316,6666666666667;453,336;424,25521477925037;845,6920690553711;434,9602988411741
92;320,0;454,848;424,33016052662373;931,3385261227637;435,02105831751226
93;323,3333333333333;455,136;424,40510627399715;944,3878291988829;435,0818177938504
94;326,6666666666667;456,384;424,4800520213705;1017,8618966230976;435,1425772701886
95;330,0;457,488;424,55499776874393;1084,5826359639173;435,20333674652676
96;333,3333333333333;456,24;424,6299435161173;999,1956709142557;435,2640962228649
97;336,6666666666667;457,056;424,70488926349066;1046,594365885889;435,3248556992031
98;340,0;455,088;424,7798350108641;918,5848650086859;435,38561517554126
99;343,3333333333333;445,968;424,85478075823744;445,7680267507336;435,4463746518794
100;346,6666666666667;444,864;424,9297265056108;397,37525974910676;435,5071341282176
101;350,0;441,888;425,0046722529842;285,0467558131521;435,56789360455576
102;353,3333333333333;442,248;425,0796180003576;294,75334048564537;435,6286530808939
103;356,6666666666667;449,04;425,15456374773095;570,5140649612097;435,6894125572321
104;360,0;455,616;425,22950949510437;923,3388052041116;435,75017203357027
105;363,3333333333333;452,544;425,30445524247773;741,992798597058;435,8109315099084
106;366,6666666666667;457,416;425,3794009898511;1026,3436761370738;435,87169098624656
107;370,0;455,016;425,4543467372245;873,8913436285658;435,93245046258477
108;373,3333333333333;450,6;425,5292924845979;628,5403753228418;435,9932099389229
109;376,6666666666667;450,912;425,6042382319713;640,4828057072943;436,05396941526107
110;380,0;454,488;425,67918397934466;829,9478805119679;436,11472889159927
111;383,3333333333333;452,04;425,754129726718;690,9469760238104;436,1754883679374
112;386,6666666666667;450,264;425,82907547409144;597,0655365868482;436,23624784427557
113;390,0;448,8;425,9040212214648;524,2258442271346;436,2970073206138
114;393,3333333333333;450,72;425,97896696883817;612,1187154490423;436,3577667969519
115;396,6666666666667;452,112;426,0539127162116;679,0239128895367;436,41852627329007
116;400,0;453,552;426,12885846358495;752,0286917262537;436,4792857496282
117;403,3333333333333;451,848;426,2038042109583;657,6247776667042;436,5400452259664
118;406,6666666666667;453,816;426,27874995833173;758,3001398573577;436,6008047023046
119;410,0;452,856;426,3536957057051;702,372132907402;436,6615641786427
120;413,3333333333333;451,8;426,4286414530785;643,7058345164465;436,7223236549809
121;416,6666666666667;452,328;426,5035872004519;666,9002964414638;436,7830831313191
122;420,0;456,96;426,57853294782524;923,0335402423793;436,8438426076572
123;423,3333333333333;454,272;426,65347869519866;762,7827190637652;436,9046020839954
124;426,6666666666667;453,384;426,728424442572;710,5197082977527;436,9653615603336
125;430,0;454,176;426,8033701899454;749,26086271829;437,0261210366717
126;433,3333333333333;431,928;426,8783159373188;25,499309132896453;437,0868805130099
127;436,6666666666667;386,496;426,95326168469217;1636,7900230236623;437,1476399893481
128;440,0;358,344;427,0282074320655;4717,520350571006;437,2083994656862
129;443,3333333333333;330,48;427,10315317943895;9336,03373033732;437,2691589420244
130;446,6666666666667;323,66400000000004;427,1780989268123;10715,168676629877;437,3299184183626
131;450,0;347,16;427,2530446741857;6414,895805181098;437,39067789470073
132;453,3333333333333;388,776;427,3279904215591;1486,2559654639833;437,4514373710389
133;456,6666666666667;409,344;427,40293616893246;326,12517555357704;437,5121968473771
134;460,0;429,984;427,4778819163059;6,280627849418612;437,57295632371523
135;463,3333333333333;433,296;427,55282766367924;32,98402848467999;437,6337158000534
136;466,6666666666667;429,528;427,6277734110526;3,6108610893427424;437,6944752763916
137;470,0;434,544;427,702719158426;46,80312355328694;437,75523475272973
138;473,3333333333333;444,432;427,7776649057994;277,3668774299228;437,8159942290679
139;476,6666666666667;445,824;427,85261065317275;322,97083505525654;437,87675370540603
140;480,0;447,432;427,92755640054617;380,42332012427624;437,93751318174424
141;483,3333333333333;444,744;428,00250214791953;280,277750331216;437,9982726580824
142;486,6666666666667;441,12;428,0774478952929;170,10816540399995;438,05903213442053
143;490,0;443,496;428,1523936426663;235,4262560488102;438,11979161075874
144;493,3333333333333;452,064;428,2273393900397;568,1863890344353;438,1805510870969
145;496,6666666666667;456,528;428,30228513741304;796,6909795040638;438,24131056343504
146;500,0;459,216;428,37723088478646;951,0296805414492;438,30207003977324
147;503,3333333333333;469,704;428,4521766321598;1701,712931171486;438,3628295161114
148;506,6666666666667;467,04;428,52712237953324;1483,241742609051;438,42358899244954
149;510,0;460,56;428,6020681269066;1021,309409605279;438,48434846878774
150;513,3333333333334;460,464;428,67701387427996;1010,412486956718;438,5451079451259
151;516,6666666666666;485,664;428,7519596216534;3238,980340026554;438,60586742146404
152;520,0;471,264;428,82690536902675;1800,9070007181797;438,6666268978022
153;523,3333333333334;468,096;428,9018511164001;1536,1813067097949;438,7273863741404
154;526,6666666666666;472,488;428,97679686377353;1893,2247983619643;438,78814585047854
155;530,0;472,296;429,0517426111469;1870,065797113376;438,8489053268167
156;533,3333333333334;460,104;429,12668835852025;959,5938365333556;438,9096648031549
157;536,6666666666666;469,392;429,2016341058937;1615,2655107021446;438,97042427949305
158;540,0;466,584;429,27657985326704;1391,8435980048569;439,0311837558312
