;L, μμ;hn50,naco3,53,800;Result;fail;Predict
0;19,433333333333334;15,33;18,507319815442102;10,095361209601034;18,09999780018385
1;20,316666666666663;15,92;18,566661287371264;7,0048159700697195;18,15773696372716
2;21,2;15,66;18,626002759300427;8,797172368177744;18,215476127270474
3;22,08333333333333;15,5;18,68534423122959;10,146417871427621;18,273215290813788
4;22,966666666666665;15,14;18,74468570315875;12,993759018557096;18,330954454357098
5;23,85;15,13;18,804027175087914;13,498475683284468;18,38869361790041
6;24,73333333333333;15,14;18,863368647017076;13,863474081589766;18,446432781443722
7;25,616666666666667;15,48;18,922710118946238;11,852252963094818;18,504171944987036
8;26,5;15,56;18,982051590875404;11,71043709061288;18,561911108530346
9;27,383333333333333;15,8;19,041393062804566;10,506628987597562;18,61965027207366
10;28,266666666666666;16,21;19,10073453473373;8,35634615030222;18,67738943561697
11;29,15;16,49;19,16007600666289;7,129305881356858;18,735128599160284
12;30,03333333333333;16,65;19,219417478592053;6,6019061792943505;18,792867762703594
13;30,916666666666668;17,11;19,278758950521215;4,703515385465886;18,850606926246908
14;31,8;17,33;19,338100422450378;4,032467306645392;18,90834608979022
15;32,68333333333333;17,3;19,39744189437954;4,3992625002984305;18,96608525333353
16;33,56666666666667;17,3;19,456783366308702;4,651714489185895;19,023824416876845
17;34,45;17,32;19,516124838237864;4,822964305125285;19,081563580420156
18;35,333333333333336;17,13;19,575466310167027;5,980305474161938;19,13930274396347
19;36,21666666666667;17,22;19,63480778209619;5,831296624472321;19,19704190750678
20;37,1;17,52;19,694149254025355;4,726924978779009;19,254781071050093
21;37,98333333333333;17,48;19,753490725954514;5,16876008100118;19,312520234593404
22;38,86666666666667;17,46;19,81283219788368;5,535819351398142;19,370259398136717
23;39,75;17,63;19,87217366981284;5,027342765601991;19,427998561680027
24;40,63333333333333;17,57;19,931515141742004;5,576753764676756;19,48573772522334
25;41,516666666666666;17,46;19,990856613671166;6,405235198963079;19,543476888766655
26;42,4;17,85;20,05019808560033;4,840871615879345;19,601216052309965
27;43,28333333333333;18,07;20,10953955752949;4,15972160672759;19,65895521585328
28;44,16666666666666;18,02;20,168881029458653;4,617689678767283;19,71669437939659
29;45,05;18,17;20,228222501387815;4,2362798652191085;19,774433542939903
30;45,93333333333333;18,2;20,287563973316978;4,35792334269097;19,832172706483213
31;46,81666666666667;17,9;20,346905445246144;5,987346257975235;19,889911870026527
32;47,7;17,98;20,406246917175306;5,886674103102673;19,947651033569837
33;48,583333333333336;18,0;20,465588389104468;6,079126104486766;20,00539019711315
34;49,46666666666667;17,91;20,52492986103363;6,8378581781253605;20,06312936065646
35;50,35;17,91;20,584271332962793;7,1517271623065914;20,120868524199775
36;51,23333333333333;18,25;20,643612804891955;5,7293822597427315;20,178607687743085
37;52,11666666666667;18,21;20,702954276821117;6,2148210263206956;20,2363468512864
38;53,0;18,39;20,76229574875028;5,627787119538646;20,294086014829713
39;53,88333333333333;18,46;20,821637220679442;5,577330362098515;20,351825178373023
40;54,766666666666666;18,55;20,880978692608604;5,433461665395313;20,409564341916337
41;55,65;18,47;20,940320164537766;6,102481715321902;20,467303505459647
42;56,53333333333333;18,45;20,99966163646693;6,50077446047122;20,52504266900296
43;57,41666666666666;18,37;21,05900310839609;7,230737716963834;20,58278183254627
44;58,3;18,52;21,118344580325257;6,751394558105637;20,640520996089585
45;59,18333333333333;18,48;21,17768605225442;7,27751003652803;20,698260159632895
46;60,06666666666667;18,47;21,23702752418358;7,656441319589526;20,75599932317621
47;60,95;18,59;21,296368996112744;7,3244331431203005;20,813738486719522
48;61,833333333333336;19,0;21,355710468041906;5,549371809242215;20,871477650262833
49;62,71666666666667;18,94;21,415051939971068;6,125882105554542;20,929216813806143
50;63,6;19,06;21,47439341190023;5,829295547427242;20,986955977349457
51;64,48333333333333;19,35;21,533734883829393;4,768698042853365;21,04469514089277
52;65,36666666666666;19,39;21,593076355758555;4,853545429302392;21,10243430443608
53;66,25;19,11;21,652417827687717;6,463888410544334;21,160173467979394
54;67,13333333333334;19,36;21,71175929961688;5,530771803334479;21,217912631522708
55;68,01666666666667;19,64;21,771100771546045;4,5415904984841475;21,27565179506602
56;68,9;19,56;21,830442243475208;5,15490798095674;21,33339095860933
57;69,78333333333333;19,67;21,88978371540437;4,927439743174421;21,391130122152642
58;70,66666666666667;19,93;21,949125187333532;4,076866522124673;21,448869285695956
59;71,55;20,57;22,008466659262695;2,069186329810376;21,506608449239266
60;72,43333333333334;21,33;22,067808131191857;0,5443608384528227;21,564347612782576
61;73,31666666666666;21,91;22,12714960312102;0,04715395013561604;21,62208677632589
62;74,2;22,22;22,18649107505018;0,0011228480512925016;21,679825939869204
63;75,08333333333333;22,54;22,245832546979344;0,08653449041665956;21,737565103412514
64;75,96666666666667;22,37;22,305174018908506;0,0042024078244748755;21,795304266955828
65;76,85;21,96;22,364515490837668;0,16363278232763895;21,853043430499138
66;77,73333333333333;21,85;22,423856962766834;0,3293118137159739;21,910782594042452
67;78,61666666666666;22,12;22,483198434695993;0,13191310296561862;21,968521757585762
68;79,5;22,29;22,54253990662516;0,06377640443824426;22,026260921129076
69;80,38333333333334;22,4;22,60188137855432;0,04075609100699359;22,08400008467239
70;81,26666666666667;22,44;22,661222850483483;0,04893954957603699;22,1417392482157
71;82,15;22,63;22,720564322412645;0,008201896494061776;22,199478411759014
72;83,03333333333333;22,48;22,779905794341808;0,08994348547979042;22,257217575302324
73;83,91666666666667;22,62;22,83924726627097;0,04806936376729319;22,314956738845638
74;84,8;22,74;22,898588738200132;0,025150387883910597;22,372695902388948
75;85,68333333333334;22,68;22,957930210129295;0,07724520170251399;22,43043506593226
76;86,56666666666666;22,67;23,017271682058457;0,12059762115970876;22,48817422947557
77;87,45;23,04;23,076613153987623;0,0013405230449214341;22,545913393018886
78;88,33333333333333;22,98;23,13595462591678;0,0243218453448431;22,603652556562196
79;89,21666666666667;22,77;23,195296097845947;0,18087677084298992;22,66139172010551
80;90,1;23,03;23,254637569775106;0,0504620377544651;22,71913088364882
81;90,98333333333332;23,08;23,313979041704272;0,05474619195685017;22,776870047192133
82;91,86666666666666;22,89;23,373320513633434;0,233598718898886;22,834609210735444
83;92,75;23,04;23,432661985562596;0,15418343490596131;22,892348374278757
84;93,63333333333334;23,27;23,49200345749176;0,04928553513829528;22,95008753782207
85;94,51666666666668;23,31;23,55134492942092;0,05824737495718993;23,00782670136538
86;95,4;23,27;23,610686401350083;0,11606722406487029;23,065565864908695
87;96,28333333333332;23,58;23,670027873279246;0,008105017967184195;23,123305028452005
88;97,16666666666669;23,48;23,72936934520841;0,06218507032967161;23,18104419199532
89;98,05;23,45;23,78871081713757;0,11472501764600092;23,23878335553863
90;98,93333333333334;23,47;23,848052289066736;0,14292353326859972;23,296522519081943
91;99,81666666666666;23,49;23,907393760995895;0,17421755171829933;23,354261682625253
92;100,7;23,42;23,96673523292506;0,2989194149216183;23,412000846168567
93;101,58333333333331;23,35;24,02607670485422;0,4570797108465371;23,469740009711877
94;102,46666666666668;23,53;24,085418176783385;0,30848935110137826;23,52747917325519
95;103,35;23,43;24,144759648712547;0,5108813554276844;23,585218336798505
96;104,23333333333332;23,5;24,20410112064171;0,4957583880889113;23,642957500341815
97;105,11666666666666;23,63;24,263442592570872;0,4012495180829089;23,700696663885125
98;106,0;23,86;24,322784064500034;0,21416909035517231;23,75843582742844
99;106,88333333333334;23,77;24,382125536429196;0,374697672348732;23,816174990971753
100;107,76666666666668;24,0;24,44146700835836;0,19489311946887916;23,873914154515063
101;108,65;24,14;24,500808480287525;0,13018275944739258;23,931653318058377
102;109,53333333333332;24,01;24,560149952216683;0,3026649699240172;23,989392481601687
103;110,41666666666669;23,94;24,61949142414585;0,4617085954877525;24,047131645145
104;111,3;24,0;24,678832896075008;0,4608141007935824;24,10487080868831
105;112,18333333333334;24,08;24,738174368004174;0,4331934986976957;24,162609972231625
106;113,06666666666666;24,0;24,797515839933336;0,6360315149445743;24,22034913577494
107;113,95;24,02;24,8568573118625;0,7003301604177273;24,27808829931825
108;114,83333333333331;24,04;24,916198783791657;0,7677243087179804;24,33582746286156
109;115,71666666666668;24,06;24,975540255720823;0,838213959845352;24,393566626404876
110;116,6;23,89;25,034881727649985;1,3107541703068133;24,451305789948186
111;117,48333333333332;24,03;25,094223199579147;1,1325710185224753;24,509044953491497
112;118,36666666666666;24,05;25,15356467150831;1,2178549842012418;24,56678411703481
113;119,25;24,21;25,212906143437472;1,0058207325446213;24,62452328057812
114;120,13333333333334;24,29;25,272247615366638;0,964810377893448;24,682262444121434
115;121,01666666666668;24,58;25,3315890872958;0,5648861561421363;24,740001607664748
116;121,9;24,5;25,390930559224962;0,7937572613609041;24,79774077120806
117;122,78333333333332;24,69;25,45027203115412;0,5780135613552109;24,85547993475137
118;123,66666666666669;24,46;25,509613503083287;1,1016885058547674;24,913219098294682
119;124,55;24,41;25,56895497501245;1,3431766341061064;24,970958261837993
120;125,43333333333334;24,28;25,62829644694161;1,8179033088353707;25,028697425381306
121;126,31666666666666;24,28;25,687637918870774;1,9814445106428398;25,08643658892462
122;127,2;24,07;25,746979390799936;2,8122598771677234;25,14417575246793
123;128,08333333333334;24,34;25,806320862729102;2,150096872474618;25,201914916011244
124;128,96666666666667;24,08;25,86566233465826;3,188589973417196;25,259654079554558
125;129,85;24,36;25,925003806587426;2,4492369146331368;25,317393243097868
126;130,73333333333332;24,35;25,984345278516585;2,67108448940945;25,37513240664118
127;131,61666666666667;24,51;26,04368675044575;2,3521950484928427;25,432871570184492
128;132,5;24,31;26,10302822237491;3,2149502062329334;25,490610733727806
129;133,38333333333333;24,58;26,162369694304076;2,503893849451979;25,548349897271116
130;134,26666666666668;24,6;26,221711166233238;2,6299471066855635;25,60608906081443
131;135,15;24,95;26,2810526381624;1,771701125559087;25,66382822435774
132;136,03333333333333;25,14;26,340394110091562;1,4409460195425126;25,721567387901054
133;136,91666666666666;25,54;26,399735582020725;0,7391452709925157;25,779306551444364
134;137,8;25,77;26,45907705394989;0,4748271862802609;25,837045714987678
135;138,68333333333334;25,38;26,51841852587905;1,2959967400646297;25,89478487853099
136;139,56666666666666;25,24;26,577759997808215;1,7896018117358399;25,9525240420743
137;140,45;25,02;26,637101469737374;2,615017163426776;26,010263205617612
138;141,33333333333334;25,23;26,69644294166654;2,150454901163613;26,068002369160926
139;142,21666666666667;25,43;26,7557844135957;1,7577043113332906;26,12574153270424
140;143,1;26,06;26,815125885524864;0,5702151029897122;26,18348069624755
141;143,98333333333332;26,35;26,874467357454023;0,2750660090348044;26,24121985979086
142;144,86666666666667;27,08;26,93380882938319;0,021371858366313112;26,298959023334174
143;145,75;27,13;26,99315030131235;0,018727840030900035;26,356698186877487
144;146,63333333333333;27,35;27,052491773241513;0,08851114498897997;26,414437350420798
145;147,51666666666668;27,45;27,11183324517068;0,1143567540717935;26,47217651396411
146;148,4;27,77;27,171174717099838;0,35859171944045864;26,529915677507425
147;149,28333333333333;27,98;27,230516189029;0,561725982907614;26,587654841050735
148;150,16666666666666;28,13;27,289857660958162;0,7058391498506882;26,645394004594046
