;L, μμ;hn50,uncoated,53,800;Result;fail;Predict
0;16,783333333333335;14,38;23,25960151844129;78,84732312630484;30,405826399726763
1;17,666666666666668;14,8;23,317869962071498;72,55410869075989;30,443528380928957
2;18,55;14,85;23,376138405701706;72,69503611318164;30,48123036213115
3;19,433333333333334;15,69;23,434406849331914;59,975837447979075;30,518932343333343
4;20,316666666666663;15,76;23,492675292962122;59,79426718638685;30,556634324535533
5;21,2;15,46;23,55094373659233;65,46337054870264;30,594336305737727
6;22,08333333333333;15,59;23,60921218022254;64,30776399142952;30,63203828693992
7;22,966666666666665;15,87;23,667480623852747;60,80070407935903;30,669740268142114
8;23,85;15,54;23,725749067482955;67,00648779579808;30,707442249344307
9;24,73333333333333;15,33;23,784017511113163;71,470412078208;30,7451442305465
10;25,616666666666667;15,34;23,84228595474337;72,2888664562264;30,782846211748694
11;26,5;15,3;23,90055439837358;73,96953595938311;30,820548192950888
12;27,383333333333333;15,34;23,958822842003787;74,28410718184624;30,85825017415308
13;28,266666666666666;15,42;24,017091285633995;73,90997857352399;30,895952155355275
14;29,15;15,44;24,075359729264203;74,56943765379795;30,933654136557468
15;30,03333333333333;15,4;24,13362817289441;76,27626106237497;30,97135611775966
16;30,916666666666668;15,45;24,19189661652462;76,4207564540046;31,009058098961855
17;31,8;15,39;24,250165060154828;78,5025248931884;31,04676008016405
18;32,68333333333333;15,56;24,308433503785036;76,5350887701485;31,084462061366242
19;33,56666666666667;15,6;24,366701947415244;76,85506303481424;31,122164042568436
20;34,45;15,55;24,424970391045452;78,76509944193346;31,15986602377063
21;35,333333333333336;15,75;24,48323883467566;76,26946054348709;31,197568004972823
22;36,21666666666667;16,22;24,54150727830587;69,24748338289756;31,235269986175016
23;37,1;16,44;24,599775721936076;66,5819398322974;31,27297196737721
24;37,98333333333333;16,74;24,658044165566285;62,69542340785831;31,310673948579403
25;38,86666666666667;17,18;24,716312609196493;56,79600774353405;31,348375929781596
26;39,75;17,23;24,7745810528267;56,920703262671644;31,38607791098379
27;40,63333333333333;17,35;24,83284949645691;55,993036586625394;31,423779892185983
28;41,516666666666666;17,46;24,891117940087117;55,22151383948459;31,461481873388177
29;42,4;17,73;24,949386383717325;52,11953975740311;31,49918385459037
30;43,28333333333333;17,89;25,007654827347533;50,66101024126363;31,536885835792564
31;44,16666666666666;18,27;25,06592327097774;46,18457310501681;31,574587816994757
32;45,05;18,71;25,12419171460795;41,14185535174526;31,61228979819695
33;45,93333333333333;19,44;25,182460158238158;32,975848668952594;31,649991779399144
34;46,81666666666667;19,73;25,240728601868366;30,368129723450068;31,687693760601338
35;47,7;20,15;25,298997045498574;26,512170574553057;31,72539574180353
36;48,583333333333336;20,44;25,357265489128782;24,179499890576906;31,763097723005725
37;49,46666666666667;20,58;25,41553393275899;23,38238841486364;31,80079970420792
38;50,35;20,51;25,473802376389198;24,639334031847035;31,83850168541011
39;51,23333333333333;20,53;25,532070820019406;25,020712488489604;31,876203666612305
40;52,11666666666667;20,56;25,590339263649614;25,304313107414956;31,9139056478145
41;53,0;20,78;25,648607707279822;23,703341007384477;31,951607629016692
42;53,88333333333333;20,93;25,70687615091003;22,81854576113303;31,989309610218886
43;54,766666666666666;20,97;25,76514459454024;22,99341168254848;32,02701159142108
44;55,65;21,27;25,823413038170447;20,733570296180623;32,06471357262327
45;56,53333333333333;21,59;25,881681481800655;18,418529941230666;32,102415553825466
46;57,41666666666666;21,74;25,939949925430863;17,639579376126726;32,140117535027656
47;58,3;21,63;25,99821836906107;19,081331719802574;32,17781951622985
48;59,18333333333333;21,74;26,05648681269128;18,63205840413773;32,21552149743204
49;60,06666666666667;21,83;26,114755256321487;18,359127606574628;32,25322347863424
50;60,95;21,82;26,173023699951695;18,948815332341145;32,29092545983643
51;61,833333333333336;21,63;26,231292143581904;21,171889390588557;32,32862744103863
52;62,71666666666667;22,15;26,28956058721211;17,135961855199895;32,36632942224082
53;63,6;22,34;26,34782903084232;16,06269354046249;32,404031403443014
54;64,48333333333333;22,49;26,406097474472528;15,335819429570122;32,441733384645204
55;65,36666666666666;22,62;26,464365918102736;14,779149312269885;32,4794353658474
56;66,25;22,99;26,522634361732944;12,479505533696337;32,51713734704959
57;67,13333333333334;22,74;26,580902805363152;14,752534360246544;32,55483932825179
58;68,01666666666667;22,69;26,63917124899336;15,595953553875768;32,59254130945398
59;68,9;23,01;26,69743969262357;13,597211486735786;32,630243290656175
60;69,78333333333333;23,3;26,755708136253777;11,941918722970545;32,667945271858365
61;70,66666666666667;23,42;26,813976579883985;11,519077024800978;32,70564725306056
62;71,55;24,1;26,872245023514193;7,685342470399199;32,74334923426275
63;72,43333333333334;24,63;26,9305134671444;5,2923622125127565;32,78105121546495
64;73,31666666666666;24,91;26,98878191077461;4,321334232563734;32,81875319666714
65;74,2;24,9;27,047050354404817;4,609825224349857;32,856455177869336
66;75,08333333333333;24,92;27,105318798035025;4,77561824904524;32,894157159071526
