;L, μμ;hn58,nacro+tib2,53,800;Result;fail;Predict
0;10,6;396,072;474,3430264877237;6126,353587441946;498,6249944003973
1;11,483333333333333;357,31199999999995;474,6354160490881;13764,783953427439;498,92905696142526
2;12,366666666666667;356,856;474,92780561045254;13940,951280112493;499,23311952245325
3;13,25;382,176;475,22019517181695;8657,222255171167;499,53718208348124
4;14,133333333333333;374,52;475,5125847331814;10199,502171088834;499,84124464450923
5;15,016666666666667;386,832;475,80497429454584;7916,190154817917;500,14530720553716
6;15,9;389,256;476,09736385591026;7541,422476354602;500,44936976656516
7;16,783333333333335;389,304;476,3897534172747;7583,928448254373;500,75343232759315
8;17,666666666666668;392,73599999999993;476,6821429786391;7046,954920990129;501,0574948886211
9;18,55;395,832;476,97453254000357;6584,110587005539;501,36155744964907
10;19,433333333333334;377,88;477,266922101368;9877,760284783388;501,66562001067706
11;20,316666666666663;387,312;477,5593116627324;8144,577262350353;501,96968257170505
12;21,2;382,752;477,8517012240968;9043,95317291248;502,273745132733
13;22,08333333333333;375,984;478,1440907854613;10436,684149293696;502,577807693761
14;22,966666666666665;387,096;478,4364803468257;8343,083349988852;502,88187025478896
15;23,85;391,752;478,7288699081901;7564,975899026226;503,1859328158169
16;24,73333333333333;391,104;479,02125946955454;7729,444512636979;503,4899953768449
17;25,616666666666667;408,096;479,313649030919;5071,953533491159;503,7940579378729
18;26,5;410,568;479,6060385922834;4766,250772669618;504,09812049890087
19;27,383333333333333;404,664;479,89842815364784;5660,219179606401;504,4021830599288
20;28,266666666666666;413,712;480,19081771501226;4419,433204785829;504,7062456209568
21;29,15;409,512;480,4832072763767;5036,912262266422;505,0103081819848
22;30,03333333333333;401,496;480,77559683774115;6285,254474754779;505,3143707430127
23;30,916666666666668;409,608;481,06798639910556;5106,529656160352;505,6184333040407
24;31,8;405,264;481,36037596047;5790,658434317192;505,9224958650687
25;32,68333333333333;401,4;481,6527655218344;6440,506373902535;506,2265584260967
26;33,56666666666667;408,84;481,94515508319887;5344,363699738561;506,5306209871246
27;34,45;408,0;482,2375446445633;5511,2130348535275;506,8346835481526
28;35,333333333333336;402,816;482,5299342059277;6354,311306586975;507,1387461091806
29;36,21666666666667;408,0;482,8223237672921;5598,380133937487;507,4428086702086
30;37,1;411,312;483,11471332865653;5155,629641357229;507,7468712312365
31;37,98333333333333;408,6;483,407102890021;5596,102642798186;508,0509337922645
32;38,86666666666667;421,896;483,6994924513854;3819,6716791884533;508,3549963532925
33;39,75;414,144;483,99188201274984;4878,726621667022;508,65905891432044
34;40,63333333333333;413,424;484,28427157411426;5021,1780875572285;508,96312147534843
35;41,516666666666666;417,624;484,57666113547873;4482,658833122241;509,2671840363764
36;42,4;418,104;484,86905069684315;4457,571994552038;509,5712465974044
37;43,28333333333333;404,52;485,16144025820756;6503,041886918062;509,87530915843234
38;44,16666666666666;415,848;485,453829819572;4844,971544871214;510,17937171946033
39;45,05;417,192;485,7462193809364;4699,680994929554;510,4834342804883
40;45,93333333333333;418,032;486,03860894230087;4624,898859831039;510,78749684151626
41;46,81666666666667;424,848;486,3309985036653;3780,159105001706;511,09155940254425
42;47,7;432,912;486,6233880650297;2884,9132078722173;511,39562196357224
43;48,583333333333336;436,032;486,9157776263941;2589,158825532328;511,69968452460023
44;49,46666666666667;440,832;487,2081671877586;2150,748883026937;512,0037470856282
45;50,35;439,848;487,500556749123;2270,766164728387;512,3078096466562
46;51,23333333333333;440,904;487,7929463104874;2198,5732861077727;512,6118722076841
47;52,11666666666667;441,624;488,08533587185184;2158,6557309970244;512,9159347687121
48;53,0;443,808;488,37772543321626;1986,4604251922847;513,2199973297401
49;53,88333333333333;448,272;488,67011499458073;1632,007695115369;513,5240598907681
50;54,766666666666666;451,752;488,96250455594515;1384,6216493080137;513,828122451796
51;55,65;454,608;489,25489411730956;1200,4072719760595;514,132185012824
52;56,53333333333333;459,408;489,547283678674;908,3764206635827;514,436247573852
53;57,41666666666666;457,608;489,83967324003845;1038,8807598526105;514,7403101348799
54;58,3;455,4;490,13206280140287;1206,3161864405943;515,0443726959079
55;59,18333333333333;456,504;490,4244523627673;1150,5970884947633;515,3484352569359
56;60,06666666666667;459,264;490,7168419241317;989,2812651044161;515,6524978179639
57;60,95;460,224;491,0092314854961;947,730477615582;515,9565603789919
58;61,833333333333336;434,904;491,3016210468606;3180,691659745293;516,2606229400199
59;62,71666666666667;405,84;491,594010608225;7353,750335395571;516,5646855010478
