;L, μμ;vt18u, naco3-2, 280, 2000.csv;Result;fail;Predict
0;18,666666666666668;16,33;12,364593758009581;15,72444666401656;14,265035954046743
1;23,33333333333333;16,27;12,389056387433506;15,061723323920667;14,284890601680555
2;28,0;16,89;12,41351901685743;20,038881992437073;14,304745249314367
3;32,666666666666664;16,99;12,437981646281354;20,720871092591395;14,324599896948179
4;37,333333333333336;16,74;12,462444275705279;18,297482974446524;14,34445454458199
5;42,0;16,46;12,486906905129205;15,785468740510002;14,364309192215801
6;46,66666666666666;16,17;12,511369534553129;13,385576882696;14,384163839849613
7;51,333333333333336;16,19;12,535832163977053;13,352942573824635;14,404018487483425
8;56,0;16,15;12,560294793400978;12,885983470284119;14,423873135117237
9;60,66666666666666;16,12;12,584757422824902;12,497940079471636;14,443727782751049
10;65,33333333333333;16,01;12,609220052248826;11,565304253026486;14,46358243038486
11;70,0;16,07;12,633682681672752;11,808276712235768;14,483437078018671
12;74,66666666666667;15,96;12,658145311096677;10,902244386632868;14,503291725652483
13;79,33333333333333;15,83;12,682607940520601;9,906076776073974;14,523146373286295
14;84,0;15,86;12,707070569944525;9,940963990909937;14,543001020920107
15;88,66666666666667;15,99;12,73153319936845;10,617605890818014;14,562855668553919
16;93,33333333333331;15,86;12,755995828792374;9,634841894874338;14,58271031618773
17;98,0;15,73;12,7804584582163;8,699795306707768;14,602564963821541
18;102,66666666666669;15,72;12,804921087640224;8,497685065284657;14,622419611455353
19;107,33333333333331;15,62;12,829383717064148;7,787539238586704;14,642274259089165
20;112,0;15,53;12,853846346488073;7,1617983772052325;14,662128906722977
21;116,66666666666669;15,54;12,878308975911997;7,084599107710638;14,681983554356789
22;121,33333333333331;15,5;12,902771605335921;6,745595334049347;14,7018382019906
23;126,0;15,58;12,927234234759847;7,0371662052301724;14,72169284962441
24;130,66666666666666;15,63;12,951696864183772;7,173307687323046;14,741547497258223
25;135,33333333333334;15,67;12,976159493607696;7,256776673879944;14,761402144892035
26;140,0;15,84;13,00062212303162;8,062066728217463;14,781256792525847
27;144,66666666666666;16,05;13,025084752455545;9,150112254826938;14,801111440159659
28;149,33333333333334;16,17;13,04954738187947;9,737224541935277;14,82096608779347
29;154,0;16,43;13,074010011303395;11,262668804231836;14,84082073542728
30;158,66666666666666;16,5;13,09847264072732;11,570388375880576;14,860675383061093
31;163,33333333333334;16,52;13,122935270151244;11,5400487787824;14,880530030694905
32;168,0;16,6;13,147397899575168;11,920461263857971;14,900384678328717
