;L, μμ;hn58,naco3+tib2, 73, 800.csv;Result;fail;Predict
0;4,866666666666666;336,02399999999994;559,3262768635075;49863,90685242657;569,5437914895355
1;6,083333333333333;389,616;559,5076155545444;28863,16103573311;569,7539268550419
2;7,3;426,384;559,6889542455812;17770,21082641648;569,9640622205483
3;8,516666666666667;456,624;559,8702929366181;10659,797005153943;570,1741975860547
4;9,733333333333333;455,688;560,051631627655;10891,767606512863;570,3843329515611
5;10,95;469,416;560,2329703186919;8247,722097866157;570,5944683170675
6;12,166666666666666;467,856;560,4143090097288;8567,040566740436;570,8046036825739
7;13,383333333333333;469,0079999999999;560,5956477007657;8388,297211359577;571,0147390480803
8;14,6;469,536;560,7769863918026;8324,917597749098;571,2248744135867
9;15,816666666666666;476,376;560,9583250828395;7154,1697164191355;571,4350097790931
10;17,033333333333335;474,552;561,1396637738764;7497,423517817855;571,6451451445995
11;18,25;469,368;561,3210024649132;8455,354662312344;571,8552805101059
12;19,466666666666665;473,016;561,50234115595;7829,832571167173;572,0654158756123
13;20,683333333333334;465,384;561,6836798469869;9273,62833863218;572,2755512411187
14;21,9;468,264;561,8650185380238;8761,150671355479;572,4856866066251
15;23,116666666666667;464,73599999999993;562,0463572290607;9469,305624047425;572,6958219721315
16;24,33333333333333;475,512;562,2276959200976;7519,611918906837;572,9059573376379
17;25,55;473,73599999999993;562,4090346111345;7862,907067147474;573,1160927031443
18;26,766666666666666;485,016;562,5903733021714;6017,783393224644;573,3262280686507
19;27,98333333333333;483,12;562,7717119932083;6344,395223449007;573,5363634341571
20;29,2;490,056;562,9530506842452;5313,97999846142;573,7464987996635
21;30,416666666666668;489,288;563,1343893752821;5453,289223765779;573,9566341651699
22;31,633333333333333;490,104;563,315728066319;5359,957126456647;574,1667695306763
23;32,85;491,712;563,4970667573558;5153,095809358032;574,3769048961827
24;34,06666666666667;491,352;563,6784054483927;5231,108925085294;574,5870402616891
25;35,28333333333333;498,816;563,8597441394296;4230,688651675587;574,7971756271955
26;36,5;493,728;564,0410828304665;4943,929617124043;575,007310992702
27;37,71666666666667;502,176;564,2224215215034;3849,7584236240828;575,2174463582083
28;38,93333333333333;497,064;564,4037602125403;4534,643305482424;575,4275817237148
29;40,15;502,0799999999999;564,5850989035772;3906,8873889459774;575,6377170892212
30;41,36666666666667;496,536;564,7664375946141;4655,39261435253;575,8478524547276
