;L, μμ;hn58,naco3-12,73,1000.csv;Result;fail;Predict
0;4,866666667;17,86;16,54467988;1,730067005;16,3016575
1;6,083333333;18,32;16,56100288;3,09407088;16,31840864
2;7,3;18,67;16,57732587;4,379285021;16,33515978
3;8,516666667;18,67;16,59364886;4,311234055;16,35191092
4;9,733333333;18,84;16,60997185;4,97302554;16,36866207
5;10,95;19,02;16,62629484;5,729824374;16,38541321
6;12,16666667;19,5;16,64261784;8,164632832;16,40216435
7;13,38333333;19,53;16,65894083;8,24298077;16,41891549
8;14,6;19,8;16,67526382;9,763976197;16,43566664
9;15,81666667;19,89;16,69158681;10,22984692;16,45241778
10;17,03333333;19,93;16,7079098;10,38186524;16,46916892
11;18,25;19,69;16,7242328;8,795775113;16,48592006
12;19,46666667;19,86;16,74055579;9,730932198;16,50267121
13;20,68333333;19,85;16,75687878;9,567398889;16,51942235
14;21,9;19,9;16,77320177;9,776867167;16,53617349
15;23,11666667;20,06;16,78952476;10,69600828;16,55292464
16;24,33333333;20,17;16,80584775;11,31752033;16,56967578
17;25,55;19,96;16,82217075;9,845972425;16,58642692
18;26,76666667;19,88;16,83849374;9,250760341;16,60317806
19;27,98333333;19,88;16,85481673;9,151733817;16,61992921
20;29,2;20,16;16,87113972;10,81660193;16,63668035
21;30,41666667;20,05;16,88746271;10,00164209;16,65343149
22;31,63333333;20,27;16,90378571;11,33139868;16,67018263
23;32,85;20,73;16,9201087;14,51527174;16,68693378
24;34,06666667;20,55;16,93643169;13,05787594;16,70368492
25;35,28333333;20,24;16,95275468;10,80598179;16,72043606
26;36,5;20,29;16,96907767;11,0285251;16,7371872
27;37,71666667;20,27;16,98540066;10,78859279;16,75393835
28;38,93333333;19,9;17,00172366;8,400005762;16,77068949
29;40,15;20,1;17,01804665;9,498436461;16,78744063
30;41,36666667;20,07;17,03436964;9,21505168;16,80419177
31;42,58333333;20,15;17,05069263;9,60570616;16,82094292
32;43,8;20,13;17,06701562;9,381873287;16,83769406
33;45,01666667;20,45;17,08333862;11,33440888;16,8544452
34;46,23333333;20,47;17,09966161;11,35918088;16,87119634
35;47,45;20,73;17,1159846;13,06110731;16,88794749
36;48,66666667;20,6;17,13230759;12,02489064;16,90469863
37;49,88333333;20,55;17,14863058;11,56931391;16,92144977
38;51,1;20,41;17,16495358;10,5303263;16,93820091
39;52,31666667;20,29;17,18127657;9,664161383;16,95495206
40;53,53333333;20,2;17,19759956;9,014408409;16,9717032
41;54,75;20,25;17,21392255;9,217766278;16,98845434
42;55,96666667;20,73;17,23024554;12,24828126;17,00520548
43;57,18333333;20,76;17,24656853;12,34420066;17,02195663
