material,coating,temperature,tpp,prn,koefficient
ХН58,(CrAlSi)N+DLC,500,276,1087,0.25390984360625574
ХН58,(CrAlSi)N+DLC,600,302,1102,0.27404718693284935
ХН58,(CrAlSi)N+DLC,700,319,1123,0.2840605520926091
ХН58,(CrAlSi)N+DLC,800,324,1113,0.29110512129380056
ХН58,(CrAlSi)N+DLC,900,326,1109,0.2939585211902615
ХН58,Без покрытия,500,301,1142,0.2635726795096322
ХН58,Без покрытия,600,322,1154,0.27902946273830154
ХН58,Без покрытия,700,340,1178,0.28862478777589134
ХН58,Без покрытия,800,347,1182,0.29357021996615906
ХН58,Без покрытия,900,349,1172,0.2977815699658703
